iter	RMSE
0	1.105505893
1	1.05810581
2	1.017831027
3	0.984251164
4	0.9547333557
5	0.92901229
6	0.9032183335
7	0.8792710879
8	0.8593510545
9	0.8414577752
10	0.8244466168
11	0.8112575408
12	0.7983669675
13	0.7866280471
14	0.7744412966
15	0.7643675664
16	0.7547369582
17	0.7455974796
18	0.7381181419
19	0.7311012148
20	0.724112088
21	0.7179194603
22	0.7062456816
23	0.7014019521
24	0.6958075308
25	0.6869151069
26	0.6787067601
27	0.6734945875
28	0.6700476374
29	0.6669895774
30	0.6631880275
31	0.659690006
32	0.6555796857
33	0.6502798807
34	0.6474519276
35	0.6416452103
36	0.6391118246
37	0.6370416416
38	0.6343717848
39	0.6317662019
40	0.6298984796
41	0.6273614051
42	0.6251659915
43	0.6233765214
44	0.6219447226
45	0.6202230874
46	0.6147493506
47	0.6134766574
48	0.612025039
49	0.6101238592
50	0.6057483329
51	0.6030613921
52	0.6017336934
53	0.5999351786
54	0.5990949233
55	0.5958977495
56	0.5932217321
57	0.5921473353
58	0.590780672
59	0.5899208092
60	0.5887520355
61	0.5871018791
62	0.5862333959
63	0.5854908577
64	0.5848553696
65	0.5822778486
66	0.5815153164
67	0.5808013486
68	0.5792479268
69	0.578290154
70	0.5771001442
71	0.5765114951
72	0.5750788875
73	0.5730355172
74	0.5725885961
75	0.5715736015
76	0.570720518
77	0.5698698879
78	0.5693723235
79	0.5677968134
80	0.5673057312
81	0.5669425386
82	0.5664669503
83	0.5660287774
84	0.5656444836
85	0.5648191933
86	0.5643569908
87	0.5639237744
88	0.5635276169
89	0.5625689994
90	0.5616206454
91	0.5605859717
92	0.5597624425
93	0.5590166063
94	0.5585218349
95	0.5570441202
96	0.5566276515
97	0.5558854748
98	0.5555791907
99	0.5546221431
