iter	Passed	Remaining
0	145	14451
1	148	7299
2	153	4953
3	161	3867
4	165	3140
5	168	2645
6	173	2302
7	176	2027
8	179	1817
9	184	1661
10	189	1532
11	192	1409
12	194	1304
13	198	1221
14	202	1147
15	205	1080
16	208	1019
17	211	965
18	214	914
19	216	866
20	220	828
21	222	789
22	224	752
23	226	718
24	229	688
25	231	659
26	235	636
27	237	611
28	241	590
29	244	570
30	247	550
31	251	534
32	254	516
33	257	499
34	259	481
35	261	464
36	263	448
37	266	434
38	268	420
39	270	405
40	272	392
41	274	378
42	276	365
43	277	353
44	279	342
45	283	333
46	285	322
47	287	311
48	289	301
49	291	291
50	292	281
51	294	271
52	298	264
53	301	256
54	303	248
55	306	240
56	308	233
57	311	225
58	316	219
59	319	212
60	321	205
61	322	197
62	324	190
63	326	183
64	329	177
65	331	170
66	333	164
67	335	157
68	337	151
69	339	145
70	341	139
71	343	133
72	346	128
73	348	122
74	350	116
75	352	111
76	354	105
77	357	100
78	359	95
79	362	90
80	364	85
81	366	80
82	367	75
83	369	70
84	371	65
85	373	60
86	374	56
87	378	51
88	380	47
89	382	42
90	384	38
91	386	33
92	388	29
93	390	24
94	394	20
95	396	16
96	398	12
97	400	8
98	402	4
99	404	0
